Year,Month,AGE_BEN_SNDS,BEN_SEX_COD,RAC,FLT_PAI_MNT
2019,6,80,2,233533414.62,1119467116.62
2019,6,99,0,11039.72,204766949.41
2019,6,99,1,300180.6,11502336.56
2019,6,99,2,306688.74,10635137.35
2019,7,0,0,28.09999999999997,5097.94
2019,7,0,1,218468081.9,625323062.52
2019,7,0,2,225796768.89,566875130.85
2019,7,20,1,86526904.46,259542352.17
2019,7,20,2,137489797.7,407762444.81
2019,7,30,1,121735198.67,364263247.61
2019,7,30,2,194166369.07,596995168.44
2019,7,40,1,179515467.21,533790154.15
2019,7,40,2,246259849.16,688956289.72
2019,7,50,1,244243730.49,825034158.84
2019,7,50,2,308938528.83,924807439.33
2019,7,60,1,245741296.6,1150516695.58
2019,7,60,2,298530070.66,1033569251.04
2019,7,70,1,200645999.59,1000780983.52
2019,7,70,2,257391207.74,1008441046.16
2019,7,80,0,6857.05,22206.57
2019,7,80,1,135828660.6,773711862.49
2019,7,80,2,252786505.42,1225843433.24
2019,7,99,0,29266.05,53379877.68
2019,7,99,1,324267.85,7664535.05
2019,7,99,2,327560.87,3393131.3
2019,8,0,0,1043.26,2858.13
2019,8,0,1,140643304.47,389253774.13
2019,8,0,2,146723850.67,368090897.69
2019,8,20,1,63812128.76,199498792.7
2019,8,20,2,102362687.03,320204145.71
2019,8,30,1,84297290.83,281083520.64
2019,8,30,2,134834227.96,454898483.33
2019,8,40,1,118789324.78,400264753.44
2019,8,40,2,161278719.56,501451632.89
2019,8,50,1,160529461.45,628292004.3
2019,8,50,2,200395759.53,689228836.95
2019,8,60,0,20.0,22.22
2019,8,60,1,161361543.32,911853026.76
2019,8,60,2,191406947.97,785277877.66
2019,8,70,1,135154339.12,807369319.42
2019,8,70,2,169639134.91,790094025.16
2019,8,80,0,34179.8,102557.1
2019,8,80,1,100421122.07,651685646.26
2019,8,80,2,190321479.75,1037211685.23
2019,8,99,0,48786.97,8820810.23
2019,8,99,1,226409.98,2035473.02
2019,8,99,2,210993.27,2136623.85
2019,9,0,0,44360.89000000001,218867.92
2019,9,0,1,214422824.18,541711456.09
2019,9,0,2,225806259.76,520244806.25
2019,9,20,1,78554752.85,237149377.56
2019,9,20,2,126122017.99,376949739.73
2019,9,30,1,103836552.48,325040829.55
2019,9,30,2,167896347.74,538079393.35
2019,9,40,1,152500994.99,471717426.68
2019,9,40,2,209029251.86,601966711.57
2019,9,50,1,200780647.21,718306619.62
2019,9,50,2,249225695.08,794758645.46
2019,9,60,1,199440512.91,1001834452.59
2019,9,60,2,239904301.5,899619238.54
2019,9,70,0,0.0,1088.8
2019,9,70,1,164947660.44,886865258.17
2019,9,70,2,210817268.38,895428168.05
2019,9,80,0,19314.59,54328.35
2019,9,80,1,115433495.58,700836126.26
2019,9,80,2,217452622.76,1116977292.01
2019,9,99,0,7521.99,188806432.03
2019,9,99,1,238469.99,8504194.04
2019,9,99,2,236221.04,11718931.04
2019,10,0,0,1519.53,8631.33
2019,10,0,1,239199689.69,662593759.23
2019,10,0,2,249606552.51,615501260.06
2019,10,20,1,87542557.66,265538612.89
2019,10,20,2,144742846.87,429636393.54
2019,10,30,1,123609469.88,378516126.8
2019,10,30,2,203088116.55,638791358.01
2019,10,40,1,185475946.35,555466395.8
2019,10,40,2,256964545.86,723993881.0
2019,10,50,1,249993616.18,855156596.78
2019,10,50,2,315386083.67,964678510.0
2019,10,60,0,263.03,751.52
2019,10,60,1,257883015.59,1191299651.89
2019,10,60,2,313831027.31,1106619704.15
2019,10,70,1,213585577.66,1063569522.09
2019,10,70,2,273559555.27,1088394003.93
2019,10,80,0,3562.35,11520.17
2019,10,80,1,141487721.27,810806268.37
2019,10,80,2,261926395.69,1286590660.16
2019,10,99,0,5544.87,5584112.15
2019,10,99,1,303661.34,2459525.83
2019,10,99,2,322477.19,1929063.19
2019,11,0,0,8878.74,43708.62
2019,11,0,1,210541269.71,566954476.95
2019,11,0,2,221625730.55,533244197.24
2019,11,20,1,74167828.56,226900672.51
2019,11,20,2,122591640.27,365379488.96
2019,11,30,1,104564282.76,325624473.92
2019,11,30,2,172951761.89,545258084.98
2019,11,40,1,156393558.81,478209930.86
2019,11,40,2,219024256.41,623310297.17
2019,11,50,1,211184328.13,740165737.23
2019,11,50,2,266937852.19,832999156.66
2019,11,60,0,0.0,0.98
2019,11,60,1,222616676.66,1056214633.91
2019,11,60,2,269550385.57,967580347.73
2019,11,70,1,187653089.95,947224027.16
2019,11,70,2,239019499.26,959974192.57
2019,11,80,0,3393.63,13346.86
2019,11,80,1,124449083.9,714152363.31
2019,11,80,2,229925734.5,1122772126.4
2019,11,99,0,27269.83,181280487.85
2019,11,99,1,280310.42,15557447.36
2019,11,99,2,288472.64,13651692.31
2019,12,0,0,6949.55,36033.55
2019,12,0,1,234684350.86,655531599.59
2019,12,0,2,243226894.2,600104096.6
2019,12,20,1,85439723.8,251007331.69
2019,12,20,2,137892234.23,399159156.76
2019,12,30,0,2141.95,2141.95
2019,12,30,1,122057949.9,363474261.32
2019,12,30,2,196481502.27,596741074.44
2019,12,40,0,4.2700000000000005,12.21
2019,12,40,1,186013017.18,536503631.07
2019,12,40,2,251821634.48,686252800.73
2019,12,50,1,254374215.28,828023572.49
2019,12,50,2,313279891.16,923347774.38
2019,12,60,0,1.0599999999999987,9.53
2019,12,60,1,257132504.19,1271979129.4
2019,12,60,2,307502619.1,1055683276.65
2019,12,70,1,210483122.92,1030893085.21
2019,12,70,2,262334112.81,1030193348.0
2019,12,80,1,136367029.86,771580492.9
2019,12,80,2,248876543.91,1209872763.41
2019,12,99,0,7689.49,13660466.54
2019,12,99,1,320628.08,2929032.53
2019,12,99,2,312293.76,1879539.8
2020,1,0,0,127.94,1563.61
2020,1,0,1,209370783.02,580377985.09
2020,1,0,2,218350231.91,543953610.9
2020,1,20,1,75688150.29,240431580.25
