Région;Hommes;Femmes
Auvergne-Rhône-Alpes;3 978 618;4 185 266
Bourgogne-Franche-Comté;1 368 582;1 435 395
Bretagne;1 665 928;1 756 917
Centre-Val-de-Loire;1 253 151;1 328 446
Grand Est;2 713 794;2 846 285
Hauts-de-France;2 909 540;3 089 376
Ile-de-France;5 988 690;6 392 274
Normandie;1 616 338;1 722 736
Nouvelle-Aquitaine;2 949 025;3 164 359
Occitanie;2 941 608;3 139 123
Pays de la Loire;1 894 288;1 984 928
Provence-Alpes-Côte d'Azur et Corse;2 645 084;2 876 504
Régions et Départements d'outre-mer;1 043 041;1 170 911
