Tranche d'Âge;Hommes;Femmes
0-19;8203139;7799352
20-29;3881091;3815631
30-39;4047240;4238049
40-49;4195542;4344806
50-59;4396270;4566448
60-69;3845930;4268350
70-79;2936468;3527800
80+;1487796;2559568

