Tranche d'Âge;Femmes;Hommes
0-19;7847000;8220000
20-29;3797000;3856000
30-39;4229000;4006000
40-49;4353000;4209000
50-59;4533000;4351000
60-69;4249000;3813000
70-79;3392000;2836000
80+;2630000;1494000
