Tranche d'Âge;Femmes;Hommes
0-19;7876000;8244000
20-29;3750000;3774000
30-39;4257000;4022000
40-49;4351000;4222000
50-59;4502000;4311000
60-69;4215000;3785000
70-79;5887000;4210000
80+;2646000;1493000
