Région;Hommes;Femmes
Auvergne-Rhône-Alpes;3 950 204;4 164 157
Bourgogne-Franche-Comté;1 365 076;1 435 118
Bretagne;1 650 943;1 743 624
Centre-Val-de-Loire;1 249 346;1 323 957
Grand Est;2 713 031;2 848 256
Hauts-de-France;2 906 459;3 088 833
Ile-de-France;5 953 097;6 364 182
Normandie;1 610 648;1 717 318
Nouvelle-Aquitaine;2 924 085;3 145 267
Occitanie;2 910 880;3 111 296
Pays de la Loire;1 879 390;1 974 609
Provence-Alpes-Côte d'Azur et Corse;2 620 860;2 854 577
Régions et Départements d'outre-mer;1 033 067;1 158 811
