Tranche d'Âge;Femmes;Hommes
0-19;7813000;8209000
20-29;3809000;3882000
30-39;4213000;4009000
40-49;4331000;4175000
50-59;4563000;4379000
60-69;4267000;3840000
70-79;3528000;2933000
80+;2592000;1501000
