Région;Hommes;Femmes
Auvergne-Rhône-Alpes;3 932 355;4 146 297
Bourgogne-Franche-Comté;1 364 619;1 437 076
Bretagne;1 639 918;1 733 917
Centre-Val-de-Loire;1 249 171;1 325 692
Grand Est;2 712 785;2 849 866
Hauts-de-France;2 906 426;3 091 308
Ile-de-France;5 928 065;6 343 729
Normandie;1 609 336;1 716 186
Nouvelle-Aquitaine;2 905 285;3 128 667
Occitanie;2 886 092;3 087 877
Pays de la Loire;1 867 731;1 964 389
Provence-Alpes-Côte d'Azur et Corse;2 603 858;2 838 509
Régions et Départements d'outre-mer;1 024 163;1 148 533
