Région;Hommes;Femmes
Auvergne-Rhône-Alpes;4 032 910;4 227 186
Bourgogne-Franche-Comté;1 365 936;1 427 144
Bretagne;1 694 287;1 781 608
Centre-Val-de-Loire;1 254 728;1 326 751
Grand Est;2 709 169;2 834 882
Hauts-de-France;2 899 952;3 073 981
Ile-de-France;6 035 126;6 415 723
Normandie;1 620 129;1 721 183
Nouvelle-Aquitaine;2 990 727;3 200 482
Occitanie;3 003 755;3 197 832
Pays de la Loire;1 926 671;2 010 048
Provence-Alpes-Côte d'Azur et Corse;2 685 753;2 915 996
Régions et Départements d'outre-mer;1 060 068;1 193 589
