Tranche d'Âge;Hommes;Femmes
0-19;8670371;8284180
20-29;3750911;3794090
30-39;4043290;4261357
40-49;4313883;4415656
50-59;4254910;4478692
60-69;3753241;4179619
70-79;2290459;2787097
+80;1463613;2640888
