FLX_ANN_MOI,BEN_SEX_COD,AGE_BEN_SNDS,BEN_RES_REG,RAC,FLT_PAI_MNT,FLT_REM_MNT
201901.0,2.0,0.0,75.0,15141856.81999995,35802671.589998275,20660814.769999575
201901.0,2.0,50.0,53.0,9676241.489999862,31396223.139998328,21719981.64999907
201901.0,1.0,40.0,84.0,16845857.989999857,49106830.899999365,32260972.909998752
201901.0,2.0,60.0,27.0,9798287.599999877,35312283.70999801,25513996.10999838
201901.0,2.0,70.0,93.0,22196027.349999882,100086049.17000535,77890021.8199973
201901.0,2.0,0.0,27.0,6646668.599999877,15181648.449999422,8534979.850000102
201901.0,1.0,50.0,24.0,6695513.409999822,23518564.099998727,16823050.68999964
201901.0,2.0,30.0,53.0,5310564.469999975,19024586.639999237,13714022.169999842
201901.0,1.0,50.0,75.0,16267159.359999916,58174765.64000066,41907606.279998
201901.0,2.0,80.0,84.0,24556426.149999995,115734477.60000396,91178051.4500008
201901.0,2.0,20.0,28.0,3778761.650000053,12395414.779999625,8616653.130000066
201901.0,2.0,80.0,11.0,30630890.379999924,141847779.7100065,111216889.32999904
201901.0,2.0,70.0,28.0,9502762.18999989,39598784.25999919,30096022.069998663
201901.0,1.0,30.0,24.0,2513852.6500000134,8291366.789999827,5777514.140000063
201901.0,1.0,80.0,76.0,12553100.549999898,84412250.42000273,71859149.86999889
201901.0,2.0,50.0,75.0,19828540.849999804,63940383.49000199,44111842.63999873
201901.0,2.0,40.0,53.0,7584253.109999869,22798185.879999354,15213932.769999811
201901.0,1.0,40.0,28.0,5906147.629999929,18942342.21999954,13036194.589999786
201901.0,2.0,30.0,75.0,10775411.689999802,36473739.87999845,25698328.189998627
201901.0,1.0,80.0,28.0,4954734.0699999835,28722236.109998662,23767502.039999183
201901.0,1.0,20.0,24.0,1820930.4800000205,5888335.849999936,4067405.3700000164
201901.0,1.0,20.0,53.0,2331889.6700000213,7260163.739999815,4928274.070000056
201901.0,2.0,0.0,5.0,3259081.4199999794,9765256.579999905,6506175.160000017
201901.0,1.0,40.0,11.0,30988127.85999925,84263861.04000251,53275733.1799978
201901.0,1.0,60.0,32.0,16723402.07999969,94545721.49000204,77822319.40999997
201901.0,2.0,30.0,5.0,3058371.3599999836,12524653.84999985,9466282.489999957
201901.0,2.0,60.0,24.0,9078331.929999765,32568493.159997806,23490161.22999892
201901.0,2.0,70.0,75.0,20623815.62999989,83572693.66000436,62948878.02999769
201901.0,1.0,60.0,11.0,33178809.8099996,142473869.11000684,109295059.30000007
201901.0,1.0,40.0,24.0,4610230.360000023,14572540.069999399,9962309.71
201901.0,1.0,60.0,27.0,8341772.1699998425,38912401.59999879,30570629.429998737
201901.0,2.0,80.0,93.0,25345165.499999695,154593925.2500105,129248759.74999923
201901.0,1.0,0.0,24.0,5822614.979999938,16006644.049999312,10184029.070000064
201901.0,1.0,40.0,44.0,12706145.97999991,37818672.14999885,25112526.169999428
201901.0,1.0,0.0,28.0,7555502.509999841,22803234.66999892,15247732.15999994
201901.0,2.0,40.0,76.0,15596440.269999813,47979729.56000002,32383289.289998304
201901.0,2.0,60.0,75.0,23034476.399999727,82510477.67000331,59476001.26999757
201901.0,2.0,30.0,28.0,5576868.849999938,18995012.4099992,13418143.559999939
201901.0,2.0,70.0,76.0,20360358.549999967,90353481.76000395,69993123.2099982
201901.0,2.0,80.0,75.0,21888815.079999734,113704935.43000436,91816120.34999858
201901.0,1.0,30.0,27.0,2986426.5900000385,9454422.379999781,6467995.790000033
201901.0,1.0,0.0,76.0,14254617.729999952,44937871.81999884,30683254.089999128
201901.0,1.0,50.0,93.0,16184029.479999812,63360247.370000675,47176217.88999835
201901.0,1.0,40.0,53.0,5659771.379999935,17913454.669999443,12253683.28999988
201901.0,1.0,70.0,75.0,17088834.35000008,86643713.10000327,69554878.74999827
201901.0,1.0,50.0,84.0,23649325.74999957,75757794.83000088,52108469.079998665
201901.0,2.0,80.0,76.0,23228968.099999875,133522087.87000318,110293119.7700002
201901.0,2.0,80.0,28.0,9706688.019999905,46746040.730000086,37039352.709998734
201901.0,1.0,0.0,75.0,13876109.650000026,36201493.21999824,22325383.569999695
201901.0,1.0,70.0,27.0,7157187.139999872,35583733.71999822,28426546.579998653
201901.0,1.0,20.0,28.0,2241014.760000022,7669706.919999881,5428692.160000075
201901.0,1.0,60.0,93.0,17683335.02999988,98088157.6100045,80404822.57999986
201901.0,1.0,60.0,44.0,20938646.669999857,89997276.82000308,69058630.14999841
201901.0,2.0,40.0,93.0,15824026.52999986,49376691.06000006,33552664.529998362
201901.0,1.0,40.0,5.0,2706514.1800000034,11196312.979999853,8489798.800000004
201901.0,1.0,80.0,52.0,5910229.119999948,31017610.919998538,25107381.799998987
201901.0,2.0,0.0,44.0,16693450.970000053,39074743.219998315,22381292.249999326
201901.0,2.0,80.0,27.0,8748454.02999994,40317348.029999174,31568893.999998007
201901.0,2.0,40.0,32.0,15740592.599999925,47999198.499999754,32258605.899998598
201901.0,1.0,0.0,84.0,22428619.149999853,61423401.73000035,38994782.579999246
201901.0,2.0,60.0,53.0,10754054.029999932,39819428.319999084,29065374.289998617
201901.0,2.0,20.0,76.0,8794052.189999767,28634335.999998063,19840283.809999462
201901.0,2.0,70.0,27.0,8508966.309999779,34469429.82999799,25960463.519998383
201901.0,1.0,70.0,32.0,12443115.359999835,71381368.84000088,58938253.479998425
201901.0,2.0,0.0,53.0,8404891.909999881,20148962.199999195,11744070.290000092
201901.0,1.0,60.0,28.0,9593190.269999912,49020289.34000011,39427099.06999883
201901.0,2.0,50.0,32.0,19512184.00999982,67091149.76000159,47578965.749998316
201901.0,2.0,50.0,44.0,21971356.909999855,65866112.95000077,43894756.03999837
201901.0,2.0,20.0,53.0,3802608.220000029,12631065.289999612,8828457.07000003
201901.0,1.0,30.0,11.0,22738409.21999984,60234489.96000044,37496080.739998266
201901.0,2.0,30.0,11.0,41016638.66999947,111058978.2900085,70042339.61999917
201901.0,1.0,60.0,52.0,10736846.219999827,48962574.369998924,38225728.14999846
201901.0,2.0,60.0,11.0,42735607.81999845,135603268.68000728,92867660.85999835
201901.0,2.0,60.0,32.0,20309617.009999402,82865023.00000355,62555405.98999892
201901.0,2.0,20.0,32.0,7838700.619999801,25842307.629998352,18003607.009999752
201901.0,2.0,0.0,76.0,15021086.940000039,39314401.09999877,24293314.159999307
201902.0,2.0,0.0,84.0,22723215.999999862,55717221.010000005,32994005.009998556
201902.0,2.0,70.0,52.0,10258377.209999925,36547505.88999825,26289128.67999829
201902.0,1.0,0.0,32.0,13917393.999999953,35672518.09999861,21755124.099999566
201902.0,1.0,50.0,84.0,23225119.52999968,72465487.19999993,49240367.66999828
201902.0,2.0,30.0,53.0,4903698.14999998,17014567.549999494,12110869.399999905
201902.0,2.0,50.0,52.0,11237872.059999865,32440984.299998526,21203112.239999108
201902.0,1.0,70.0,44.0,14606227.05999987,64654875.66000186,50048648.5999987
201902.0,1.0,60.0,76.0,18499897.4799998,97275979.87000367,78776082.38999896
201902.0,2.0,20.0,53.0,3570791.490000045,11249116.13999964,7678324.650000049
201902.0,1.0,80.0,75.0,11228632.669999938,66252170.52000176,55023537.84999905
201902.0,2.0,70.0,75.0,20702627.870000042,80298034.09000476,59595406.219996676
201902.0,1.0,20.0,53.0,2166169.670000016,6436626.859999875,4270457.190000077
201902.0,2.0,80.0,53.0,9303911.559999896,47817095.35000043,38513183.78999834
201902.0,2.0,40.0,24.0,6134619.509999889,17486393.56999896,11351774.059999898
201902.0,1.0,50.0,52.0,9018817.269999899,29176371.659998488,20157554.389999166
201902.0,1.0,60.0,11.0,32485129.599999685,132174201.32000509,99689071.71999876
201902.0,2.0,70.0,11.0,36112039.00000007,121167954.36000559,85055915.35999577
201902.0,1.0,70.0,24.0,6207024.709999859,29543522.679997943,23336497.969998695
201902.0,2.0,30.0,93.0,11580418.379999768,38481239.499998406,26900821.119998693
201902.0,2.0,0.0,44.0,14882075.48000006,34716872.80999812,19834797.329999387
201902.0,1.0,30.0,5.0,1427710.1000000036,6258918.18000001,4831208.08000002
201902.0,2.0,50.0,44.0,21514589.250000156,61723294.750001736,40208705.499998316
201902.0,2.0,50.0,75.0,20220088.66,62262363.23000168,42042274.56999796
201902.0,1.0,80.0,76.0,11670723.219999881,75813831.02000178,64143107.79999827
201902.0,2.0,80.0,76.0,21454545.670000017,120999474.610003,99544928.93999836
201902.0,2.0,40.0,32.0,14767951.009999905,44495649.12000001,29727698.10999845
201902.0,1.0,40.0,32.0,10975304.239999874,36031902.419998966,25056598.17999888
201902.0,2.0,0.0,52.0,9491546.229999833,22052171.739999056,12560625.510000091
201902.0,1.0,60.0,93.0,16783472.6699999,84970559.50000237,68187086.82999928
201902.0,2.0,40.0,27.0,6961454.289999893,19070527.259999163,12109072.96999979
201902.0,2.0,80.0,24.0,7054652.819999841,31836015.779997878,24781362.95999859
201902.0,1.0,80.0,44.0,9777543.49999996,46589097.88000027,36811554.379998736
201902.0,2.0,50.0,84.0,28917647.63999977,81363773.52000287,52446125.87999856
201902.0,2.0,20.0,5.0,1787244.2799999965,7490158.319999966,5702914.040000024
201902.0,1.0,70.0,75.0,16713981.960000046,81008760.3800032,64294778.41999772
201902.0,1.0,50.0,76.0,16067156.169999907,60320993.77000013,44253837.599997886
201902.0,1.0,0.0,52.0,8781477.999999901,21849923.889999013,13068445.890000071
201902.0,1.0,70.0,5.0,2993062.8599999743,21581152.21999939,18588089.359999843
201902.0,2.0,70.0,28.0,9098206.719999861,36592304.32999863,27494097.60999862
201902.0,2.0,80.0,11.0,30202889.570000064,133862213.44000453,103659323.86999866
201902.0,2.0,20.0,27.0,3396083.190000016,9841270.689999592,6445187.500000051
201902.0,1.0,0.0,84.0,21355518.199999943,58865468.430000424,37509950.22999863
201902.0,1.0,30.0,24.0,2377217.760000025,7592165.829999847,5214948.070000048
201902.0,1.0,0.0,27.0,5810409.9199999,14641659.869999373,8831249.950000053
201902.0,2.0,50.0,24.0,8124629.769999787,24366938.39999861,16242308.629999623
201902.0,2.0,30.0,28.0,5193997.599999983,17291195.779999368,12097198.179999825
201902.0,1.0,20.0,75.0,4500598.339999988,14113109.74999933,9612511.410000078
201902.0,2.0,50.0,5.0,5483352.309999952,22461768.169999547,16978415.859999806
201902.0,1.0,30.0,27.0,2927142.3400000175,9061547.489999777,6134405.150000029
201902.0,1.0,80.0,11.0,16559075.010000149,83375422.33000243,66816347.319997884
201902.0,2.0,60.0,76.0,22750559.06999969,82337735.34000416,59587176.26999884
201902.0,1.0,40.0,11.0,30467499.869999807,79861835.36000213,49394335.489997886
201902.0,1.0,40.0,93.0,10622381.329999896,35358956.88999859,24736575.559999052
201902.0,1.0,40.0,27.0,4961510.100000001,14437444.719999457,9475934.619999968
201902.0,2.0,70.0,24.0,7477069.139999763,28469323.919997666,20992254.77999884
201902.0,1.0,20.0,76.0,5362315.229999906,17393879.70999923,12031564.47999999
201902.0,1.0,0.0,24.0,5170176.999999973,13725702.809999267,8555525.810000174
201902.0,1.0,50.0,24.0,6376381.409999836,21428100.869998783,15051719.459999608
201902.0,2.0,40.0,84.0,22961672.15999987,60682077.09000075,37720404.929997884
201902.0,1.0,0.0,11.0,36553656.97999903,99449393.72000307,62895736.73999773
201902.0,1.0,60.0,84.0,24060280.359999638,103200570.64000241,79140290.27999982
201902.0,1.0,60.0,5.0,3943581.049999979,28505820.56999943,24562239.51999991
201902.0,1.0,30.0,76.0,6986888.469999922,23465036.179999094,16478147.71000003
201902.0,2.0,20.0,52.0,4663234.510000014,14283664.609999346,9620430.100000001
201902.0,2.0,70.0,53.0,9171237.4099999,36303657.649998195,27132420.239998188
201902.0,1.0,80.0,24.0,3976879.4400000144,22144461.069998648,18167581.629999395
201902.0,2.0,70.0,5.0,3988431.609999978,24009949.7099995,20021518.09999988
201902.0,1.0,80.0,93.0,11682279.649999876,77722106.0200018,66039826.36999877
201902.0,2.0,20.0,28.0,3529999.5500000203,11292586.719999542,7762587.170000129
201902.0,2.0,60.0,32.0,19299851.80999993,75789711.25000171,56489859.439997956
201902.0,1.0,0.0,93.0,12688909.849999996,37732491.8799988,25043582.029999286
201902.0,2.0,20.0,75.0,7550976.769999816,22733969.229998328,15182992.459999966
201902.0,2.0,30.0,11.0,40111014.560000055,105545413.51000519,65434398.94999833
201902.0,1.0,30.0,75.0,6401934.799999921,20790230.499999017,14388295.69999986
201902.0,1.0,70.0,84.0,20719824.999999955,91472717.01000325,70752892.00999911
201902.0,2.0,0.0,5.0,3307918.269999982,9994621.989999883,6686703.720000057
201902.0,2.0,60.0,53.0,10794518.919999814,36487957.84999868,25693438.92999875
201902.0,1.0,50.0,28.0,7855777.179999921,27695117.909998473,19839340.729999438
201902.0,2.0,60.0,44.0,22403729.439999875,72155121.33000265,49751391.88999834
201902.0,2.0,80.0,52.0,9547348.509999918,40864101.53000015,31316753.019997917
201902.0,2.0,50.0,93.0,20821926.609999906,70401886.04000238,49579959.429998636
201902.0,2.0,0.0,24.0,5705464.829999895,13701803.379999239,7996338.550000109
201902.0,2.0,40.0,75.0,15334363.159999851,43469121.09999875,28134757.939998437
201902.0,1.0,70.0,76.0,16494595.629999958,86336988.40000439,69842392.76999904
201902.0,2.0,20.0,44.0,8342529.419999569,24507087.36999795,16164557.949999837
201902.0,2.0,30.0,5.0,2969164.900000003,12339673.409999847,9370508.50999998
201902.0,2.0,0.0,32.0,15025163.77999997,35814997.28999833,20789833.50999961
201902.0,1.0,20.0,32.0,4414492.440000029,13843660.939999582,9429168.500000121
201902.0,1.0,80.0,32.0,7071388.749999935,42884118.79999965,35812730.04999883
201902.0,2.0,30.0,84.0,17261142.17999981,53444963.260000825,36183821.079997905
201902.0,2.0,30.0,27.0,4652540.479999967,14436681.619999385,9784141.139999947
201902.0,2.0,0.0,28.0,7585206.329999801,19579430.04999916,11994223.720000016
201902.0,2.0,80.0,27.0,8161698.519999853,37613553.08999856,29451854.56999808
201902.0,1.0,80.0,5.0,1947248.6199999936,16896203.749999765,14948955.129999839
201902.0,2.0,0.0,11.0,37639836.37999922,87407701.48000363,49767865.099997856
201902.0,1.0,20.0,44.0,4960827.669999966,14524544.499999387,9563716.830000024
201902.0,2.0,40.0,11.0,45438690.85999901,109650303.4000049,64211612.53999778
201902.0,1.0,60.0,53.0,8873190.139999842,40141528.999999106,31268338.859998718
201902.0,2.0,40.0,44.0,15719517.569999982,42390157.57999935,26670640.009998925
201902.0,1.0,30.0,11.0,21692063.389999755,56413650.28999991,34721586.89999769
201902.0,2.0,0.0,76.0,14611901.080000024,38138059.34999843,23526158.269999225
201902.0,2.0,80.0,5.0,3624173.199999988,28816748.12999953,25192574.929999888
201902.0,1.0,70.0,11.0,26506815.830000293,112348064.96000378,85841249.12999919
201902.0,1.0,40.0,76.0,11161266.06999994,36216544.76999862,25055278.69999862
201902.0,1.0,60.0,28.0,8895082.819999803,45363861.850000314,36468779.029998586
201902.0,1.0,20.0,11.0,13783283.5899997,36468165.529998355,22684881.93999897
201902.0,2.0,80.0,93.0,22562408.349999946,135441562.97000584,112879154.61999857
201902.0,2.0,70.0,32.0,15498606.500000075,67599605.8100033,52100999.30999744
201902.0,1.0,40.0,84.0,16574973.319999918,46900813.21999942,30325839.899998695
201902.0,1.0,40.0,28.0,5310029.709999999,16634294.429999534,11324264.719999984
201902.0,1.0,0.0,28.0,6897751.939999883,20964422.669999033,14066670.729999933
201902.0,2.0,80.0,75.0,20299804.929999955,103579310.23000279,83279505.29999894
201902.0,1.0,70.0,53.0,7073535.919999852,35362732.18999818,28289196.26999851
201902.0,1.0,50.0,32.0,14950737.41999994,57132172.8000007,42181435.37999868
201902.0,1.0,40.0,52.0,6557751.9199999105,19049773.619999245,12492021.699999878
201902.0,2.0,30.0,52.0,6292010.819999919,20692522.299999155,14400511.479999831
201902.0,2.0,30.0,75.0,10743638.859999795,34670611.44999746,23926972.589998774
201902.0,1.0,50.0,75.0,15625552.949999956,54325453.84000029,38699900.88999884
201902.0,2.0,80.0,84.0,22819197.669999927,106086426.99000382,83267229.31999736
201902.0,2.0,0.0,27.0,6261713.789999938,14730227.919999365,8468514.130000113
201902.0,1.0,40.0,75.0,10734074.999999925,32999523.62999814,22265448.629999127
201902.0,2.0,20.0,32.0,7323201.339999814,23193645.159998737,15870443.81999992
201902.0,2.0,0.0,75.0,13926398.299999908,33269349.389997903,19342951.089999486
201902.0,1.0,40.0,53.0,5350115.839999972,16308586.569999473,10958470.729999898
201902.0,2.0,20.0,11.0,24136541.709999558,60929454.75000062,36792913.03999734
