Régions;Ensemble;;;;;;Hommes;;;;;;Femmes;;;;;
;0 à 19 ans;20 à 39 ans;40 à 59 ans;60 à 74 ans;75 ans et plus;Total;0 à 19 ans;20 à 39 ans;40 à 59 ans;60 à 74 ans;75 ans et plus;Total;0 à 19 ans;20 à 39 ans;40 à 59 ans;60 à 74 ans;75 ans et plus;Total
Auvergne-Rhône-Alpes;1 957 955;1 917 840;2 091 444;1 343 342;768 071;8 078 652;1 005 010;955 312;1 036 053;634 359;301 621;3 932 355;952 945;962 528;1 055 391;708 983;466 450;4 146 297
Bourgogne-Franche-Comté;636 461;600 896;719 917;537 713;306 708;2 801 695;326 983;304 207;356 105;256 904;120 420;1 364 619;309 478;296 689;363 812;280 809;186 288;1 437 076
Bretagne;782 791;728 817;872 426;635 379;354 422;3 373 835;402 064;368 578;434 018;300 660;134 598;1 639 918;380 727;360 239;438 408;334 719;219 824;1 733 917
Centre-Val-de-Loire;604 460;550 287;663 705;480 322;276 089;2 574 863;309 880;274 039;327 795;228 048;109 409;1 249 171;294 580;276 248;335 910;252 274;166 680;1 325 692
Corse;68 924;77 041;93 160;64 955;39 621;343 701;35 635;37 746;45 481;31 423;16 750;167 035;33 289;39 295;47 679;33 532;22 871;176 666
Grand Est;1 277 237;1 313 359;1 458 913;991 172;521 970;5 562 651;656 183;660 105;722 745;471 944;201 808;2 712 785;621 054;653 254;736 168;519 228;320 162;2 849 866
Hauts-de-France;1 541 130;1 452 574;1 528 410;997 858;477 762;5 997 734;789 305;722 231;755 506;464 870;174 514;2 906 426;751 825;730 343;772 904;532 988;303 248;3 091 308
Île-de-France;3 137 668;3 397 736;3 210 554;1 671 721;854 115;12 271 794;1 600 550;1 645 986;1 573 476;775 644;332 409;5 928 065;1 537 118;1 751 750;1 637 078;896 077;521 706;6 343 729
Normandie;791 952;741 747;845 746;617 060;329 017;3 325 522;406 900;370 032;416 683;290 842;124 879;1 609 336;385 052;371 715;429 063;326 218;204 138;1 716 186
Nouvelle-Aquitaine;1 301 966;1 288 814;1 572 470;1 181 444;689 258;6 033 952;668 018;640 142;769 546;556 527;271 052;2 905 285;633 948;648 672;802 924;624 917;418 206;3 128 667
Occitanie;1 333 494;1 345 521;1 540 902;1 106 112;647 940;5 973 969;683 447;668 097;752 901;521 881;259 766;2 886 092;650 047;677 424;788 001;584 231;388 174;3 087 877
Pays de la Loire;944 051;866 063;978 512;669 430;374 064;3 832 120;484 215;434 626;486 487;316 720;145 683;1 867 731;459 836;431 437;492 025;352 710;228 381;1 964 389
Provence-Alpes-Côte d'Azur;1 134 769;1 127 103;1 319 309;932 967;584 518;5 098 666;582 889;552 830;635 819;432 862;232 423;2 436 823;551 880;574 273;683 490;500 105;352 095;2 661 843
France métropolitaine;15 512 858;15 407 798;16 895 468;11 229 475;6 223 555;65 269 154;7 951 079;7 633 931;8 312 615;5 282 684;2 425 332;31 605 641;7 561 779;7 773 867;8 582 853;5 946 791;3 798 223;33 663 513
Guadeloupe ;93 699;73 301;111 300;71 453;33 806;383 559;47 684;32 485;48 518;33 089;13 502;175 278;46 015;40 816;62 782;38 364;20 304;208 281
Martinique ;79 594;68 673;106 060;70 684;36 214;361 225;40 061;31 061;46 753;32 628;14 595;165 098;39 533;37 612;59 307;38 056;21 619;196 127
Guyane;118 987;78 568;60 584;21 073;5 921;285 133;59 634;36 652;29 178;10 490;2 512;138 466;59 353;41 916;31 406;10 583;3 409;146 667
La Réunion;257 801;206 054;239 355;115 742;44 131;863 083;130 967;94 821;113 761;55 146;17 322;412 017;126 834;111 233;125 594;60 596;26 809;451 066
Mayotte;150 367;74 388;42 900;9 513;2 528;279 696;74 359;31 243;21 536;4 970;1 196;133 304;76 008;43 145;21 364;4 543;1 332;146 392
DOM;700 448;500 984;560 199;288 465;122 600;2 172 696;352 705;226 262;259 746;136 323;49 127;1 024 163;347 743;274 722;300 453;152 142;73 473;1 148 533
France métropolitaine et DOM;16 213 306;15 908 782;17 455 667;11 517 940;6 346 155;67 441 850;8 303 784;7 860 193;8 572 361;5 419 007;2 474 459;32 629 804;7 909 522;8 048 589;8 883 306;6 098 933;3 871 696;34 812 046
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
