Tranche d'Âge;Hommes;Femmes
0-19;8225000;7861000
20-29;3782000;3738000
30-39;3983000;4213000
40-49;4217000;4346000
50-59;4329000;4505000
60-69;3837000;4233000
70-79;2792000;3286000
80+;1664000;2889000
