Région;Hommes;Femmes
Auvergne-Rhône-Alpes;3 996 870;4 199 566
Bourgogne-Franche-Comté;1 367 650;1 432 584
Bretagne;1 675 384;1 764 864
Centre-Val-de-Loire;1 254 003;1 327 713
Grand Est;2 712 192;2 842 280
Hauts-de-France;2 906 076;3 084 216
Ile-de-France;6 005 365;6 401 994
Normandie;1 617 585;1 721 937
Nouvelle-Aquitaine;2 962 683;3 176 131
Occitanie;2 962 595;3 158 658
Pays de la Loire;1 905 180;1 993 244
Provence-Alpes-Côte d'Azur et Corse;2 658 813;2 889 802
Régions et Départements d'outre-mer;1 049 375;1 179 322
