Régions;Ensemble;;;;;;Hommes;;;;;;Femmes;;;;;
;0 à 19 ans;20 à 39 ans;40 à 59 ans;60 à 74 ans;75 ans et plus;Total;0 à 19 ans;20 à 39 ans;40 à 59 ans;60 à 74 ans;75 ans et plus;Total;0 à 19 ans;20 à 39 ans;40 à 59 ans;60 à 74 ans;75 ans et plus;Total
Auvergne-Rhône-Alpes;1 917 538;1 968 526;2 109 650;1 383 194;881 188;8 260 096;985 003;987 677;1 044 367;656 098;359 765;4 032 910;932 535;980 849;1 065 283;727 096;521 423;4 227 186
Bourgogne-Franche-Comté;607 458;600 554;702 457;537 928;344 683;2 793 080;313 454;306 378;349 022;255 672;141 410;1 365 936;294 004;294 176;353 435;282 256;203 273;1 427 144
Bretagne;762 710;754 948;879 474;666 494;412 269;3 475 895;392 314;383 817;436 960;316 502;164 694;1 694 287;370 396;371 131;442 514;349 992;247 575;1 781 608
Centre-Val-de-Loire;584 067;554 427;650 376;481 447;311 162;2 581 479;301 382;278 389;319 807;227 410;127 740;1 254 728;282 685;276 038;330 569;254 037;183 422;1 326 751
Corse;71 079;77 489;96 139;70 185;45 270;360 162;36 179;37 859;47 113;33 784;19 402;174 337;34 900;39 630;49 026;36 401;25 868;185 825
Grand Est;1 218 181;1 298 645;1 419 119;1 025 031;583 075;5 544 051;626 365;657 130;702 766;486 215;236 693;2 709 169;591 816;641 515;716 353;538 816;346 382;2 834 882
Hauts-de-France;1 458 719;1 434 502;1 510 032;1 012 421;558 259;5 973 933;747 813;715 255;747 455;473 031;216 398;2 899 952;710 906;719 247;762 577;539 390;341 861;3 073 981
Île-de-France;3 024 514;3 498 225;3 212 635;1 723 310;992 165;12 450 849;1 548 027;1 709 549;1 574 991;800 126;402 433;6 035 126;1 476 487;1 788 676;1 637 644;923 184;589 732;6 415 723
Normandie;758 915;743 807;828 368;628 917;381 305;3 341 312;390 114;375 604;407 565;295 487;151 359;1 620 129;368 801;368 203;420 803;333 430;229 946;1 721 183
Nouvelle-Aquitaine;1 273 349;1 327 732;1 582 419;1 218 179;789 530;6 191 209;653 610;666 721;774 437;573 555;322 404;2 990 727;619 739;661 011;807 982;644 624;467 126;3 200 482
Occitanie;1 330 833;1 399 024;1 564 374;1 156 480;750 876;6 201 587;683 106;699 821;763 319;547 237;310 272;3 003 755;647 727;699 203;801 055;609 243;440 604;3 197 832
Pays de la Loire;917 158;898 330;996 038;691 212;433 981;3 936 719;472 255;455 324;496 039;327 160;175 893;1 926 671;444 903;443 006;499 999;364 052;258 088;2 010 048
Provence-Alpes-Côte d'Azur;1 109 717;1 156 387;1 330 959;968 862;675 662;5 241 587;571 982;570 317;644 928;449 482;274 707;2 511 416;537 735;586 070;686 031;519 380;400 955;2 730 171
France métropolitaine;15 034 238;15 712 596;16 882 040;11 563 660;7 159 425;66 351 959;7 721 604;7 843 841;8 308 769;5 441 759;2 903 170;32 219 143;7 312 634;7 868 755;8 573 271;6 121 901;4 256 255;34 132 816
Guadeloupe ;83 373;70 921;102 118;83 206;40 769;380 387;42 964;31 508;43 721;38 837;16 847;173 877;40 409;39 413;58 397;44 369;23 922;206 510
Martinique ;72 161;65 830;94 373;82 513;40 582;355 459;36 890;29 032;41 470;37 691;16 701;161 784;35 271;36 798;52 903;44 822;23 881;193 675
Guyane;116 013;77 825;65 357;25 301;7 858;292 354;58 631;35 562;31 074;12 534;3 457;141 258;57 382;42 263;34 283;12 767;4 401;151 096
La Réunion;251 287;203 538;239 316;146 347;55 687;896 175;127 220;93 448;112 401;69 907;23 230;426 206;124 067;110 090;126 915;76 440;32 457;469 969
Mayotte;176 995;87 586;50 515;11 201;2 985;329 282;87 525;36 786;25 362;5 851;1 419;156 943;89 470;50 800;25 153;5 350;1 566;172 339
DOM;699 829;505 700;551 679;348 568;147 881;2 253 657;353 230;226 336;254 028;164 820;61 654;1 060 068;346 599;279 364;297 651;183 748;86 227;1 193 589
France métropolitaine et DOM;15 734 067;16 218 296;17 433 719;11 912 228;7 307 306;68 605 616;8 074 834;8 070 177;8 562 797;5 606 579;2 964 824;33 279 211;7 659 233;8 148 119;8 870 922;6 305 649;4 342 482;35 326 405
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
