Régions;Ensemble;;;;;;Hommes;;;;;;Femmes;;;;;
;0 à 19 ans;20 à 39 ans;40 à 59 ans;60 à 74 ans;75 ans et plus;Total;0 à 19 ans;20 à 39 ans;40 à 59 ans;60 à 74 ans;75 ans et plus;Total;0 à 19 ans;20 à 39 ans;40 à 59 ans;60 à 74 ans;75 ans et plus;Total
Auvergne-Rhône-Alpes;1 938 376;1 951 065;2 114 570;1 368 424;824 001;8 196 436;995 507;974 915;1 048 120;646 767;331 561;3 996 870;942 869;976 150;1 066 450;721 657;492 440;4 199 566
Bourgogne-Franche-Comté;620 049;600 584;713 837;542 401;323 363;2 800 234;319 483;305 762;354 293;257 797;130 315;1 367 650;300 566;294 822;359 544;284 604;193 048;1 432 584
Bretagne;771 991;743 876;882 769;660 381;381 231;3 440 248;396 953;377 560;439 182;312 646;149 043;1 675 384;375 038;366 316;443 587;347 735;232 188;1 764 864
Centre-Val-de-Loire;593 285;552 239;659 325;484 535;292 332;2 581 716;305 816;276 019;324 692;229 245;118 231;1 254 003;287 469;276 220;334 633;255 290;174 101;1 327 713
Corse;70 963;76 598;95 630;68 855;42 220;354 266;36 313;37 410;46 853;33 207;17 892;171 675;34 650;39 188;48 777;35 648;24 328;182 591
Grand Est;1 244 569;1 302 604;1 442 662;1 019 714;544 923;5 554 472;639 712;657 390;714 687;483 640;216 763;2 712 192;604 857;645 214;727 975;536 074;328 160;2 842 280
Hauts-de-France;1 493 466;1 442 643;1 526 448;1 013 672;514 063;5 990 292;765 005;718 587;755 532;472 463;194 489;2 906 076;728 461;724 056;770 916;541 209;319 574;3 084 216
Île-de-France;3 075 903;3 472 109;3 229 409;1 705 064;924 874;12 407 359;1 571 011;1 690 961;1 584 111;789 654;369 628;6 005 365;1 504 892;1 781 148;1 645 298;915 410;555 246;6 401 994
Normandie;772 533;742 988;839 577;629 856;354 568;3 339 522;396 838;373 085;413 541;295 689;138 432;1 617 585;375 695;369 903;426 036;334 167;216 136;1 721 937
Nouvelle-Aquitaine;1 286 523;1 313 003;1 589 409;1 213 282;736 597;6 138 814;660 654;656 768;777 960;571 138;296 163;2 962 683;625 869;656 235;811 449;642 144;440 434;3 176 131
Occitanie;1 338 597;1 375 528;1 566 455;1 142 047;698 626;6 121 253;686 861;685 777;765 173;539 856;284 928;2 962 595;651 736;689 751;801 282;602 191;413 698;3 158 658
Pays de la Loire;930 135;884 105;994 319;688 841;401 024;3 898 424;478 816;445 841;495 092;325 518;159 913;1 905 180;451 319;438 264;499 227;363 323;241 111;1 993 244
Provence-Alpes-Côte d'Azur;1 121 161;1 148 175;1 338 712;955 617;630 684;5 194 349;577 152;565 341;647 807;442 709;254 129;2 487 138;544 009;582 834;690 905;512 908;376 555;2 707 211
France métropolitaine;15 257 551;15 605 517;16 993 122;11 492 689;6 668 506;66 017 385;7 830 121;7 765 416;8 367 043;5 400 329;2 661 487;32 024 396;7 427 430;7 840 101;8 626 079;6 092 360;4 007 019;33 992 989
Guadeloupe ;87 738;72 245;106 585;78 716;37 449;382 733;44 868;32 287;45 956;36 531;15 335;174 977;42 870;39 958;60 629;42 185;22 114;207 756
Martinique ;75 330;67 460;99 549;78 386;38 477;359 202;38 388;29 924;43 730;36 028;15 640;163 710;36 942;37 536;55 819;42 358;22 837;195 492
Guyane;117 478;78 228;63 925;23 509;6 970;290 110;59 238;36 097;30 718;11 674;3 027;140 754;58 240;42 131;33 207;11 835;3 943;149 356
La Réunion;255 107;206 557;241 251;133 004;50 534;886 453;129 225;95 106;113 668;63 305;20 785;422 089;125 882;111 451;127 583;69 699;29 749;464 364
Mayotte;166 743;82 505;47 593;10 556;2 802;310 199;82 457;34 652;23 894;5 508;1 334;147 845;84 286;47 853;23 699;5 048;1 468;162 354
DOM;702 396;506 995;558 903;324 171;136 232;2 228 697;354 176;228 066;257 966;153 046;56 121;1 049 375;348 220;278 929;300 937;171 125;80 111;1 179 322
France métropolitaine et DOM;15 959 947;16 112 512;17 552 025;11 816 860;6 804 738;68 246 082;8 184 297;7 993 482;8 625 009;5 553 375;2 717 608;33 073 771;7 775 650;8 119 030;8 927 016;6 263 485;4 087 130;35 172 311
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
