Régions;Ensemble;;;;;;Hommes;;;;;;Femmes;;;;;
;0 à 19 ans;20 à 39 ans;40 à 59 ans;60 à 74 ans;75 ans et plus;Total;0 à 19 ans;20 à 39 ans;40 à 59 ans;60 à 74 ans;75 ans et plus;Total;0 à 19 ans;20 à 39 ans;40 à 59 ans;60 à 74 ans;75 ans et plus;Total
Auvergne-Rhône-Alpes;1 928 524;1 960 153;2 112 147;1 374 436;853 542;8 228 802;990 439;981 668;1 046 279;650 465;346 285;4 015 136;938 085;978 485;1 065 868;723 971;507 257;4 213 666
Bourgogne-Franche-Comté;614 837;600 296;707 903;539 950;334 174;2 797 160;316 826;306 102;351 534;256 370;136 213;1 367 045;298 011;294 194;356 369;283 580;197 961;1 430 115
Bretagne;767 581;749 787;881 177;663 152;396 891;3 458 588;394 833;380 615;438 369;314 269;156 996;1 685 082;372 748;369 172;442 808;348 883;239 895;1 773 506
Centre-Val-de-Loire;589 383;553 219;654 742;482 693;301 978;2 582 015;304 080;276 934;322 268;228 108;123 182;1 254 572;285 303;276 285;332 474;254 585;178 796;1 327 443
Corse;71 146;77 004;95 948;69 484;43 655;357 237;36 301;37 618;47 053;33 411;18 643;173 026;34 845;39 386;48 895;36 073;25 012;184 211
Grand Est;1 232 363;1 300 863;1 430 296;1 022 675;563 527;5 549 724;633 451;657 614;708 528;484 597;226 701;2 710 891;598 912;643 249;721 768;538 078;336 826;2 838 833
Hauts-de-France;1 476 570;1 439 636;1 517 208;1 013 237;535 887;5 982 538;756 632;717 255;751 208;472 721;205 367;2 903 183;719 938;722 381;766 000;540 516;330 520;3 079 355
Île-de-France;3 051 917;3 484 517;3 221 289;1 712 242;960 386;12 430 351;1 560 702;1 699 468;1 580 210;793 332;387 155;6 020 867;1 491 215;1 785 049;1 641 079;918 910;573 231;6 409 484
Normandie;766 239;743 648;833 399;629 902;367 855;3 341 043;393 825;374 282;410 285;295 867;144 908;1 619 167;372 414;369 366;423 114;334 035;222 947;1 721 876
Nouvelle-Aquitaine;1 281 442;1 320 338;1 586 156;1 214 910;763 756;6 166 602;657 916;661 564;776 376;571 703;309 926;2 977 485;623 526;658 774;809 780;643 207;453 830;3 189 117
Occitanie;1 336 182;1 386 987;1 565 619;1 148 272;725 242;6 162 302;685 916;692 398;764 485;542 701;298 107;2 983 607;650 266;694 589;801 134;605 571;427 135;3 178 695
Pays de la Loire;923 923;891 524;995 215;689 982;417 612;3 918 256;475 730;450 619;495 779;325 872;168 283;1 916 283;448 193;440 905;499 436;364 110;249 329;2 001 973
Provence-Alpes-Côte d'Azur;1 116 395;1 152 376;1 335 255;961 403;652 912;5 218 341;575 056;567 955;646 487;445 272;264 692;2 499 462;541 339;584 421;688 768;516 131;388 220;2 718 879
France métropolitaine;15 156 502;15 660 348;16 936 354;11 522 338;6 917 417;66 192 959;7 781 707;7 804 092;8 338 861;5 414 688;2 786 458;32 125 806;7 374 795;7 856 256;8 597 493;6 107 650;4 130 959;34 067 153
Guadeloupe ;85 715;71 580;104 432;81 226;38 956;381 909;44 008;31 904;44 805;37 908;15 966;174 591;41 707;39 676;59 627;43 318;22 990;207 318
Martinique ;74 066;66 659;96 790;80 684;39 391;357 590;37 837;29 411;42 584;36 928;16 110;162 870;36 229;37 248;54 206;43 756;23 281;194 720
Guyane;117 307;78 063;64 535;24 488;7 381;291 774;59 264;35 761;30 840;12 161;3 214;141 240;58 043;42 302;33 695;12 327;4 167;150 534
La Réunion;254 202;204 818;240 419;139 688;52 975;892 102;128 525;94 244;113 229;66 602;21 882;424 482;125 677;110 574;127 190;73 086;31 093;467 620
Mayotte;172 162;85 192;49 137;10 895;2 896;320 282;85 135;35 779;24 674;5 684;1 379;152 651;87 027;49 413;24 463;5 211;1 517;167 631
DOM;703 452;506 312;555 313;336 981;141 599;2 243 657;354 769;227 099;256 132;159 283;58 551;1 055 834;348 683;279 213;299 181;177 698;83 048;1 187 823
France métropolitaine et DOM;15 859 954;16 166 660;17 491 667;11 859 319;7 059 016;68 436 616;8 136 476;8 031 191;8 594 993;5 573 971;2 845 009;33 181 640;7 723 478;8 135 469;8 896 674;6 285 348;4 214 007;35 254 976
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
