Âge,Femmes,Hommes
>95,187000,49000
90-94,507000,219000
85-89,839000,502000
80-84,1065000,784000
75-79,1745000,1411000
70-74,1991000,1679000
65-69,2092000,1854000
60-64,2222000,2072000
55-59,2251000,2158000
50-54,2284000,2233000
45-49,2096000,2043000
40-44,2241000,2130000
35-39,2205000,2105000
30-34,2060000,2000000
25-29,1947000,1944000
20-24,1938000,2023000
15-19,2073000,2215000
10-14,2074000,2176000
5-9,1871000,1968000
<4,1642000,1716000
