Régions;Ensemble;;;;;;Hommes;;;;;;Femmes;;;;;
;0 à 19 ans;20 à 39 ans;40 à 59 ans;60 à 74 ans;75 ans et plus;Total;0 à 19 ans;20 à 39 ans;40 à 59 ans;60 à 74 ans;75 ans et plus;Total;0 à 19 ans;20 à 39 ans;40 à 59 ans;60 à 74 ans;75 ans et plus;Total
Auvergne-Rhône-Alpes;1 944 700;1 945 989;2 107 973;1 368 077;797 145;8 163 884;998 193;971 312;1 045 203;646 009;317 901;3 978 618;946 507;974 677;1 062 770;722 068;479 244;4 185 266
Bourgogne-Franche-Comté;625 529;602 319;716 332;546 082;313 715;2 803 977;322 559;305 863;355 247;259 671;125 242;1 368 582;302 970;296 456;361 085;286 411;188 473;1 435 395
Bretagne;775 387;740 829;880 955;657 907;367 767;3 422 845;398 327;375 995;438 501;311 265;141 840;1 665 928;377 060;364 834;442 454;346 642;225 927;1 756 917
Centre-Val-de-Loire;597 010;552 175;661 540;486 701;284 171;2 581 597;307 106;275 773;325 827;230 471;113 974;1 253 151;289 904;276 402;335 713;256 230;170 197;1 328 446
Corse;70 542;76 376;94 948;68 289;41 121;351 276;36 119;37 287;46 571;32 967;17 382;170 326;34 423;39 089;48 377;35 322;23 739;180 950
Grand Est;1 256 145;1 307 411;1 448 565;1 018 078;529 880;5 560 079;645 181;659 137;718 032;483 114;208 330;2 713 794;610 964;648 274;730 533;534 964;321 550;2 846 285
Hauts-de-France;1 510 216;1 448 860;1 528 396;1 015 839;495 605;5 998 916;773 552;721 487;756 346;473 283;184 872;2 909 540;736 664;727 373;772 050;542 556;310 733;3 089 376
Île-de-France;3 099 637;3 458 335;3 228 507;1 702 309;892 176;12 380 964;1 582 466;1 681 210;1 582 831;788 348;353 835;5 988 690;1 517 171;1 777 125;1 645 676;913 961;538 341;6 392 274
Normandie;778 163;743 985;842 030;630 859;344 037;3 339 074;399 697;372 551;414 692;296 677;132 721;1 616 338;378 466;371 434;427 338;334 182;211 316;1 722 736
Nouvelle-Aquitaine;1 290 605;1 307 741;1 587 506;1 213 294;714 238;6 113 384;662 772;653 160;777 279;571 221;284 593;2 949 025;627 833;654 581;810 227;642 073;429 645;3 164 359
Occitanie;1 339 445;1 365 948;1 560 458;1 139 281;675 599;6 080 731;686 993;679 984;762 413;538 363;273 855;2 941 608;652 452;685 964;798 045;600 918;401 744;3 139 123
Pays de la Loire;935 197;878 886;990 157;688 059;386 917;3 879 216;480 954;442 256;493 147;325 132;152 799;1 894 288;454 243;436 630;497 010;362 927;234 118;1 984 928
Provence-Alpes-Côte d'Azur;1 124 743;1 145 242;1 336 126;953 540;610 661;5 170 312;578 427;563 815;645 998;441 810;244 708;2 474 758;546 316;581 427;690 128;511 730;365 953;2 695 554
France métropolitaine;15 347 319;15 574 096;16 983 493;11 488 315;6 453 032;65 846 255;7 872 346;7 739 830;8 362 087;5 398 331;2 552 052;31 924 646;7 474 973;7 834 266;8 621 406;6 089 984;3 900 980;33 921 609
Guadeloupe ;89 708;72 995;108 817;75 873;36 176;383 569;45 739;32 624;47 105;35 215;14 720;175 403;43 969;40 371;61 712;40 658;21 456;208 166
Martinique ;76 689;68 299;102 083;76 106;37 842;361 019;38 891;30 507;44 923;34 977;15 376;164 674;37 798;37 792;57 160;41 129;22 466;196 345
Guyane;118 086;78 175;62 655;22 911;6 555;288 382;59 388;36 340;30 303;11 360;2 834;140 225;58 698;41 835;32 352;11 551;3 721;148 157
La Réunion;256 698;206 406;242 347;127 621;48 276;881 348;129 992;95 186;114 533;60 690;19 527;419 928;126 706;111 220;127 814;66 931;28 749;461 420
Mayotte;161 054;79 691;45 956;10 193;2 740;299 634;79 642;33 472;23 072;5 325;1 300;142 811;81 412;46 219;22 884;4 868;1 440;156 823
DOM;702 235;505 566;561 858;312 704;131 589;2 213 952;353 652;228 129;259 936;147 567;53 757;1 043 041;348 583;277 437;301 922;165 137;77 832;1 170 911
France métropolitaine et DOM;16 049 554;16 079 662;17 545 351;11 801 019;6 584 621;68 060 207;8 225 998;7 967 959;8 622 023;5 545 898;2 605 809;32 967 687;7 823 556;8 111 703;8 923 328;6 255 121;3 978 812;35 092 520
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
