Régions;Ensemble;;;;;;Hommes;;;;;;Femmes;;;;;
;0 à 19 ans;20 à 39 ans;40 à 59 ans;60 à 74 ans;75 ans et plus;Total;0 à 19 ans;20 à 39 ans;40 à 59 ans;60 à 74 ans;75 ans et plus;Total;0 à 19 ans;20 à 39 ans;40 à 59 ans;60 à 74 ans;75 ans et plus;Total
Auvergne-Rhône-Alpes;1 950 254;1 929 435;2 099 330;1 362 499;772 843;8 114 361;999 921;962 164;1 040 046;643 239;304 834;3 950 204;950 333;967 271;1 059 284;719 260;468 009;4 164 157
Bourgogne-Franche-Comté;630 794;599 288;718 190;545 364;306 558;2 800 194;324 823;303 777;355 674;259 686;121 116;1 365 076;305 971;295 511;362 516;285 678;185 442;1 435 118
Bretagne;778 235;734 147;875 306;651 070;355 809;3 394 567;399 506;372 224;435 542;308 047;135 624;1 650 943;378 729;361 923;439 764;343 023;220 185;1 743 624
Centre-Val-de-Loire;598 920;550 509;660 584;486 627;276 663;2 573 303;307 575;274 996;325 801;230 674;110 300;1 249 346;291 345;275 513;334 783;255 953;166 363;1 323 957
Corse;70 465;75 727;94 289;66 921;40 195;347 597;36 122;37 030;46 129;32 450;16 888;168 619;34 343;38 697;48 160;34 471;23 307;178 978
Grand Est;1 265 658;1 312 672;1 453 100;1 011 955;517 902;5 561 287;650 031;660 761;720 343;480 522;201 374;2 713 031;615 627;651 911;732 757;531 433;316 528;2 848 256
Hauts-de-France;1 525 796;1 450 462;1 526 060;1 015 508;477 466;5 995 292;781 387;722 082;754 915;472 699;175 376;2 906 459;744 409;728 380;771 145;542 809;302 090;3 088 833
Île-de-France;3 117 685;3 419 810;3 218 103;1 699 019;862 662;12 317 279;1 590 291;1 660 189;1 577 493;786 820;338 304;5 953 097;1 527 394;1 759 621;1 640 610;912 199;524 358;6 364 182
Normandie;784 067;740 548;843 543;628 148;331 660;3 327 966;402 481;370 812;415 266;295 515;126 574;1 610 648;381 586;369 736;428 277;332 633;205 086;1 717 318
Nouvelle-Aquitaine;1 295 674;1 294 015;1 578 665;1 207 793;693 205;6 069 352;664 503;644 624;773 116;568 034;273 808;2 924 085;631 171;649 391;805 549;639 759;419 397;3 145 267
Occitanie;1 332 903;1 353 646;1 550 983;1 130 862;653 782;6 022 176;683 626;672 644;757 638;534 060;262 912;2 910 880;649 277;681 002;793 345;596 802;390 870;3 111 296
Pays de la Loire;940 051;870 930;985 120;684 525;373 373;3 853 999;482 937;437 228;489 827;323 530;145 868;1 879 390;457 114;433 702;495 293;360 995;227 505;1 974 609
Provence-Alpes-Côte d'Azur;1 126 725;1 134 439;1 327 053;948 059;591 564;5 127 840;579 528;557 425;640 187;439 121;235 980;2 452 241;547 197;577 014;686 866;508 938;355 584;2 675 599
France métropolitaine;15 417 227;15 465 628;16 930 326;11 438 350;6 253 682;65 505 213;7 902 731;7 675 956;8 331 977;5 374 397;2 448 958;31 734 019;7 514 496;7 789 672;8 598 349;6 063 953;3 804 724;33 771 194
Guadeloupe ;92 644;73 580;110 095;73 037;34 959;384 315;47 401;32 559;47 841;33 847;14 140;175 788;45 243;41 021;62 254;39 190;20 819;208 527
Martinique ;77 668;69 182;103 752;73 184;36 963;360 749;39 493;31 070;45 638;33 687;15 031;164 919;38 175;38 112;58 114;39 497;21 932;195 830
Guyane;118 367;78 593;61 681;21 912;6 065;286 618;59 449;36 609;29 924;10 875;2 608;139 465;58 918;41 984;31 757;11 037;3 457;147 153
La Réunion;257 985;205 964;240 622;121 050;45 536;871 157;131 225;94 570;113 967;57 419;17 957;415 138;126 760;111 394;126 655;63 631;27 579;456 019
Mayotte;155 404;76 870;44 328;9 831;2 606;289 039;76 854;32 284;22 252;5 136;1 231;137 757;78 550;44 586;22 076;4 695;1 375;151 282
DOM;702 068;504 189;560 478;299 014;126 129;2 191 878;354 422;227 092;259 622;140 964;50 967;1 033 067;347 646;277 097;300 856;158 050;75 162;1 158 811
France métropolitaine et DOM;16 119 295;15 969 817;17 490 804;11 737 364;6 379 811;67 697 091;8 257 153;7 903 048;8 591 599;5 515 361;2 499 925;32 767 086;7 862 142;8 066 769;8 899 205;6 222 003;3 879 886;34 930 005
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
